class_id,category,class_name_english,video_count,folder_path
0,Adjectives,Bad,4,SSL400\Dataset - Original\Adjectives\Bad
1,Adjectives,Beautiful,35,SSL400\Dataset - Original\Adjectives\Beautiful
2,Adjectives,Careful,1,SSL400\Dataset - Original\Adjectives\Careful
3,Adjectives,Cold,13,SSL400\Dataset - Original\Adjectives\Cold
4,Adjectives,Deaf,19,SSL400\Dataset - Original\Adjectives\Deaf
5,Adjectives,Deep,17,SSL400\Dataset - Original\Adjectives\Deep
6,Adjectives,Different,10,SSL400\Dataset - Original\Adjectives\Different
7,Adjectives,Difficult,2,SSL400\Dataset - Original\Adjectives\Difficult
8,Adjectives,Double,6,SSL400\Dataset - Original\Adjectives\Double
9,Adjectives,Fast,21,SSL400\Dataset - Original\Adjectives\Fast
10,Adjectives,Fat,10,SSL400\Dataset - Original\Adjectives\Fat
11,Adjectives,Free,4,SSL400\Dataset - Original\Adjectives\Free
12,Adjectives,Full,12,SSL400\Dataset - Original\Adjectives\Full
13,Adjectives,Good,67,SSL400\Dataset - Original\Adjectives\Good
14,Adjectives,Happy,8,SSL400\Dataset - Original\Adjectives\Happy
15,Adjectives,Hard,14,SSL400\Dataset - Original\Adjectives\Hard
16,Adjectives,Healthy,21,SSL400\Dataset - Original\Adjectives\Healthy
17,Adjectives,High,8,SSL400\Dataset - Original\Adjectives\High
18,Adjectives,Independent,7,SSL400\Dataset - Original\Adjectives\Independent
19,Adjectives,Less,5,SSL400\Dataset - Original\Adjectives\Less
20,Adjectives,Loose,8,SSL400\Dataset - Original\Adjectives\Loose
21,Adjectives,Low,8,SSL400\Dataset - Original\Adjectives\Low
22,Adjectives,Next,5,SSL400\Dataset - Original\Adjectives\Next
23,Adjectives,Nice,4,SSL400\Dataset - Original\Adjectives\Nice
24,Adjectives,Not good,3,SSL400\Dataset - Original\Adjectives\Not good
25,Adjectives,Old,7,SSL400\Dataset - Original\Adjectives\Old
26,Adjectives,Past,9,SSL400\Dataset - Original\Adjectives\Past
27,Adjectives,Positive,6,SSL400\Dataset - Original\Adjectives\Positive
28,Adjectives,Present,8,SSL400\Dataset - Original\Adjectives\Present
29,Adjectives,Quick,8,SSL400\Dataset - Original\Adjectives\Quick
30,Adjectives,Rich,19,SSL400\Dataset - Original\Adjectives\Rich
31,Adjectives,Same,9,SSL400\Dataset - Original\Adjectives\Same
32,Adjectives,Senior,6,SSL400\Dataset - Original\Adjectives\Senior
33,Adjectives,Small,8,SSL400\Dataset - Original\Adjectives\Small
34,Adjectives,Soft,8,SSL400\Dataset - Original\Adjectives\Soft
35,Adjectives,Strong,8,SSL400\Dataset - Original\Adjectives\Strong
36,Adjectives,Thirsty,1,SSL400\Dataset - Original\Adjectives\Thirsty
37,Adjectives,Tight,8,SSL400\Dataset - Original\Adjectives\Tight
38,Adjectives,Ugly,1,SSL400\Dataset - Original\Adjectives\Ugly
39,Adjectives,Welcome,5,SSL400\Dataset - Original\Adjectives\Welcome
40,Adjectives,Wrong,20,SSL400\Dataset - Original\Adjectives\Wrong
41,Adverb,Again,27,SSL400\Dataset - Original\Adverb\Again
42,Adverb,Also,8,SSL400\Dataset - Original\Adverb\Also
43,Adverb,Can,11,SSL400\Dataset - Original\Adverb\Can
44,Adverb,Cant,3,SSL400\Dataset - Original\Adverb\Cant
45,Adverb,Clearly,1,SSL400\Dataset - Original\Adverb\Clearly
46,Adverb,Dont,1,SSL400\Dataset - Original\Adverb\Dont
47,Adverb,Dont know,2,SSL400\Dataset - Original\Adverb\Dont know
48,Adverb,Here,7,SSL400\Dataset - Original\Adverb\Here
49,Adverb,Instead,6,SSL400\Dataset - Original\Adverb\Instead
50,Adverb,Never,7,SSL400\Dataset - Original\Adverb\Never
51,Adverb,Not like (dislike),2,SSL400\Dataset - Original\Adverb\Not like (dislike)
52,Adverb,When,3,SSL400\Dataset - Original\Adverb\When
53,Adverb,Where,2,SSL400\Dataset - Original\Adverb\Where
54,Adverb,Why,5,SSL400\Dataset - Original\Adverb\Why
55,Colors,Black,28,SSL400\Dataset - Original\Colors\Black
56,Colors,Blue,5,SSL400\Dataset - Original\Colors\Blue
57,Colors,Brown,5,SSL400\Dataset - Original\Colors\Brown
58,Colors,Color,1,SSL400\Dataset - Original\Colors\Color
59,Colors,Gold,4,SSL400\Dataset - Original\Colors\Gold
60,Colors,Gray,1,SSL400\Dataset - Original\Colors\Gray
61,Colors,Green,28,SSL400\Dataset - Original\Colors\Green
62,Colors,Grey,3,SSL400\Dataset - Original\Colors\Grey
63,Colors,Orange,5,SSL400\Dataset - Original\Colors\Orange
64,Colors,Pink,6,SSL400\Dataset - Original\Colors\Pink
65,Colors,Purple,30,SSL400\Dataset - Original\Colors\Purple
66,Colors,Red,30,SSL400\Dataset - Original\Colors\Red
67,Colors,White,48,SSL400\Dataset - Original\Colors\White
68,Colors,Yellow,48,SSL400\Dataset - Original\Colors\Yellow
69,Conjunctions,Or,4,SSL400\Dataset - Original\Conjunctions\Or
70,Days,Day,22,SSL400\Dataset - Original\Days\Day
71,Days,Day after tomorrow,1,SSL400\Dataset - Original\Days\Day after tomorrow
72,Days,Evening,2,SSL400\Dataset - Original\Days\Evening
73,Days,Friday,8,SSL400\Dataset - Original\Days\Friday
74,Days,Good evening,4,SSL400\Dataset - Original\Days\Good evening
75,Days,Good morning,4,SSL400\Dataset - Original\Days\Good morning
76,Days,Good night,4,SSL400\Dataset - Original\Days\Good night
77,Days,Hour,35,SSL400\Dataset - Original\Days\Hour
78,Days,Monday,24,SSL400\Dataset - Original\Days\Monday
79,Days,Morning,2,SSL400\Dataset - Original\Days\Morning
80,Days,Night,3,SSL400\Dataset - Original\Days\Night
81,Days,Saturday,3,SSL400\Dataset - Original\Days\Saturday
82,Days,Seconds,2,SSL400\Dataset - Original\Days\Seconds
